"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","6591.53","","","","2"
"2014","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","5363.76","","","","2"
"2015","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","4750.04","","","","2"
"2016","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","5012.62","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","4713.37","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","5391.93","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","6279.33","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","5506.03","","","","2"
"1998","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","","..","","","2"
"1999","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","11.58","","","","2"
"2000","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","-3.48","","","","2"
"2001","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","2.73","","","","2"
