"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Ontario [35]","2016A000235","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44380596","16.1.2","4044.17","","","","2"
"1998","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","","..","","","2"
"1999","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-8.06","","","","2"
"2000","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-1.05","","","","2"
"2001","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-3.52","","","","2"
"2002","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-2.97","","","","2"
"2003","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-3.58","","","","2"
"2004","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-5.33","","","","2"
"2005","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-3.45","","","","2"
"2006","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","2.48","","","","2"
"2007","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-4.61","","","","2"
"2008","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-3.82","","","","2"
"2009","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-3.07","","","","2"
"2010","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-4.46","","","","2"
"2011","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-5.44","","","","2"
"2012","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-3.72","","","","2"
