"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44385177","5.1.2","6432.14","","","","2"
"2014","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44385177","5.1.2","6253.08","","","","2"
"2015","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44385177","5.1.2","5727.24","","","","2"
"2016","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44385177","5.1.2","5589.79","","","","2"
"2017","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44385177","5.1.2","5731.87","","","","2"
"2018","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44385177","5.1.2","5685.69","","","","2"
"2019","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44385177","5.1.2","5873.28","","","","2"
"2020","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44385177","5.1.2","5850.61","","","","2"
"1998","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","","..","","","2"
"1999","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","2.88","","","","2"
"2000","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","-8.88","","","","2"
"2001","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","1.12","","","","2"
"2002","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","0.69","","","","2"
"2003","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","8.82","","","","2"
"2004","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","2.22","","","","2"
"2005","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","-6.38","","","","2"
"2006","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","-0.54","","","","2"
"2007","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","-5.99","","","","2"
"2008","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","-5.67","","","","2"
"2009","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","-0.11","","","","2"
"2010","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","1.13","","","","2"
"2011","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","-6.27","","","","2"
"2012","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","-2.63","","","","2"
"2013","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","-10.06","","","","2"
"2014","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","-2.78","","","","2"
"2015","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","-8.41","","","","2"
"2016","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","-2.40","","","","2"
"2017","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","2.54","","","","2"
"2018","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","-0.81","","","","2"
"2019","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","3.30","","","","2"
"2020","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44380184","5.1.3","-0.39","","","","2"
"2011","Nova Scotia [12]","2016A000212","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151743","5.1.15","","..","","","0"
"2012","Nova Scotia [12]","2016A000212","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151743","5.1.15","","..","","","0"
"2013","Nova Scotia [12]","2016A000212","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151743","5.1.15","","..","","","0"
"2014","Nova Scotia [12]","2016A000212","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151743","5.1.15","","..","","","0"
"2015","Nova Scotia [12]","2016A000212","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151743","5.1.15","","..","","","0"
"2016","Nova Scotia [12]","2016A000212","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151743","5.1.15","","..","","","0"
"2017","Nova Scotia [12]","2016A000212","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151743","5.1.15","9340","","","","0"
"2018","Nova Scotia [12]","2016A000212","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151743","5.1.15","8881","","","","0"
"2019","Nova Scotia [12]","2016A000212","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151743","5.1.15","9049","","","","0"
"2020","Nova Scotia [12]","2016A000212","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151743","5.1.15","8992","","","","0"
"2011","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151744","5.1.16","","..","","","2"
"2012","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151744","5.1.16","","..","","","2"
"2013","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151744","5.1.16","","..","","","2"
"2014","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151744","5.1.16","","..","","","2"
"2015","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151744","5.1.16","","..","","","2"
"2016","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151744","5.1.16","","..","","","2"
"2017","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151744","5.1.16","14.64","","","","2"
"2018","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151744","5.1.16","14.01","","","","2"
