"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","5043.64","","","","2"
"2015","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","5478.74","","","","2"
"2016","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","5276.22","","","","2"
"2017","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","5753.30","","","","2"
"2018","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","6055.68","","","","2"
"2019","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","6752.37","","","","2"
"2020","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","6763.36","","","","2"
"1998","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","","..","","","2"
"1999","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","2.02","","","","2"
"2000","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","-4.04","","","","2"
"2001","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","-1.11","","","","2"
"2002","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","2.41","","","","2"
"2003","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","3.48","","","","2"
"2004","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","2.33","","","","2"
"2005","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","-11.62","","","","2"
"2006","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","-6.79","","","","2"
"2007","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","-5.88","","","","2"
"2008","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","3.15","","","","2"
"2009","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","-1.68","","","","2"
"2010","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","-0.91","","","","2"
"2011","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","-4.37","","","","2"
"2012","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","3.32","","","","2"
"2013","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","-12.89","","","","2"
"2014","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","-7.55","","","","2"
"2015","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","8.63","","","","2"
"2016","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","-3.70","","","","2"
"2017","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","9.04","","","","2"
"2018","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","5.26","","","","2"
"2019","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","11.50","","","","2"
"2020","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","0.16","","","","2"
